dataset,path,error,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,tesla,manufacturer,model,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
4RTNI_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/4RTNI_bids/sub-1S5002/ses-20110214/anat/sub-1S5002_ses-20110214_acq-t1mprage_T1w.nii.gz,,sub-1S5002,ses-20110214,160,240,256,1.0,1.0,1.0,9.650623321533203,3,Siemens,TrioTim,9830400,9654322,0.9820884195963542,0.0,1075.0,94.63968407103057,21.0,127.48853087824631,18.0,3.0301270128960915,1.7106095543541904,1.0,2.0,345.0,541.0,1.7613359595904858,0.5713
4RTNI_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/4RTNI_bids/sub-1S5002/ses-20110214/anat/sub-1S5002_ses-20110214_acq-t1mprageS3DIS3D_T1w.nii.gz,,sub-1S5002,ses-20110214,160,240,256,1.0,1.0,1.0,9.406219482421875,3,Siemens,TrioTim,9830400,9634284,0.980050048828125,0.0,979.0,94.44746158614382,21.0,126.50255557355204,17.0,2.7359908677465015,1.6667360620707206,1.0,3.0,345.0,534.0,1.924823742615024,0.5729
4RTNI_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/4RTNI_bids/sub-1S5003/ses-20110303/anat/sub-1S5003_ses-20110303_acq-t1mprageshort_T1w.nii.gz,,sub-1S5003,ses-20110303,160,240,256,1.0,1.0,1.0,9.906623840332031,3,Siemens,TrioTim,9830400,9631399,0.9797565714518229,0.0,1142.0,99.7550262428127,26.0,134.15086102857995,23.0,2.6072798417408274,1.6784787304267206,1.0,2.0,376.0,566.0,1.692490910208457,0.5715
4RTNI_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/4RTNI_bids/sub-1S5003/ses-20120312/anat/sub-1S5003_ses-20120312_acq-T1mprageS9DIS3D_T1w.nii.gz,,sub-1S5003,ses-20120312,160,240,256,1.0,1.0,1.0,10.052929878234863,3,Siemens,TrioTim,9830400,9509453,0.9673515828450521,0.0,1015.0,97.7363838908505,41.0,115.84040972880308,36.0,2.02181904049319,1.4850246736486465,2.0,4.0,329.0,474.0,1.9530832866015537,0.6181
4RTNI_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/4RTNI_bids/sub-1S5003/ses-20120312/anat/sub-1S5003_ses-20120312_acq-T1mprage_T1w.nii.gz,,sub-1S5003,ses-20120312,160,240,256,1.0,1.0,1.0,10.379478454589844,3,Siemens,TrioTim,9830400,9686916,0.985404052734375,0.0,949.0,97.65756913758723,39.0,117.92160038576526,34.0,2.1296382047499076,1.5233232522264821,1.0,3.0,333.0,487.0,2.083924636016331,0.6173
4RTNI_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/4RTNI_bids/sub-1S5003/ses-20121101/anat/sub-1S5003_ses-20121101_acq-t1mprageshortS37DIS3D_T1w.nii.gz,,sub-1S5003,ses-20121101,160,240,256,1.0,1.0,1.0,10.28005599975586,3,Siemens,TrioTim,9830400,9545129,0.9709807332356771,0.0,1444.0,107.22049906292519,42.0,130.20452014805917,37.0,2.285330316598375,1.5596077041237912,2.0,4.0,371.0,539.0,1.3966259949586457,0.6102
4RTNI_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/4RTNI_bids/sub-1S5003/ses-20110303/anat/sub-1S5003_ses-20110303_acq-t1mprage_T1w.nii.gz,,sub-1S5003,ses-20110303,160,240,256,1.0,1.0,1.0,10.00849723815918,3,Siemens,TrioTim,9830400,9675482,0.9842409261067708,0.0,989.0,96.17941059680541,30.0,125.58281875220833,26.0,2.6717087180048837,1.6819202955277992,1.0,3.0,352.0,532.0,1.9724303183835235,0.586
4RTNI_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/4RTNI_bids/sub-1S5003/ses-20121101/anat/sub-1S5003_ses-20121101_acq-t1mprageshort_T1w.nii.gz,,sub-1S5003,ses-20121101,160,240,256,1.0,1.0,1.0,10.552748680114746,3,Siemens,TrioTim,9830400,9688240,0.9855387369791667,0.0,2762.0,107.36430053343022,40.0,133.8127287053481,35.0,3.9246615179263387,1.706018195780577,1.0,3.0,378.0,562.0,0.7307399726105271,0.6054
4RTNI_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/4RTNI_bids/sub-1S5004/ses-20110425/anat/sub-1S5004_ses-20110425_acq-t1mprageS3DIS3D_T1w.nii.gz,,sub-1S5004,ses-20110425,160,240,256,1.0,1.0,1.0,9.875943183898926,3,Siemens,TrioTim,9830400,9654236,0.9820796712239583,0.0,1366.0,100.554105058132,23.0,138.11077440430665,18.0,2.741952824074162,1.7382079322816035,2.0,4.0,395.0,575.0,1.4126893943597527,0.5647
4RTNI_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/4RTNI_bids/sub-1S5004/ses-20110425/anat/sub-1S5004_ses-20110425_acq-t1mprage_T1w.nii.gz,,sub-1S5004,ses-20110425,160,240,256,1.0,1.0,1.0,10.09250259399414,3,Siemens,TrioTim,9830400,9681840,0.9848876953125,0.0,1425.0,101.52874525916562,22.0,141.99082200140114,18.0,3.180775990907664,1.8129361722199235,1.0,3.0,404.0,595.0,1.3526159824546702,0.5585
