dataset,path,error,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,tesla,manufacturer,model,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC006/ses-01/anat/sub-HC006_ses-01_run-1_T1w.nii.gz,,sub-HC006,ses-01,224,320,320,0.8,0.8,0.8,19.841350555419922,,,,22937600,18277008,0.7968143136160715,0.0,1502.0,153.12420282356936,39.0,180.27358241707935,19.0,1.7202262999634108,1.42076141876356,14.0,18.0,484.0,750.0,1.3271594432707263,0.5586
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC009/ses-01/anat/sub-HC009_ses-01_run-1_T1w.nii.gz,,sub-HC009,ses-01,224,320,320,0.8,0.8,0.8,19.37528705596924,,,,22937600,18844941,0.8215742274693081,0.0,1215.0,130.36013299272201,40.0,155.03094685625334,16.0,1.157870138257385,1.4143085632202856,15.0,19.0,450.0,576.0,1.5947048725001438,0.5662
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC007/ses-01/anat/sub-HC007_ses-01_run-2_T1w.nii.gz,,sub-HC007,ses-01,224,320,320,0.8,0.8,0.8,20.193655014038086,,,,22937600,18909594,0.8243928745814733,0.0,1210.0,141.18397846088075,41.0,174.95105155467857,17.0,2.317147665046451,1.6725906946682245,17.0,21.0,496.0,751.0,1.637217510887099,0.5537
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC008/ses-01/anat/sub-HC008_ses-01_run-2_T1w.nii.gz,,sub-HC008,ses-01,224,320,320,0.8,0.8,0.8,19.872796058654785,,,,22937600,18984315,0.8276504516601563,0.0,1446.0,133.25229090435974,39.0,171.603241346409,15.0,2.535805180994915,1.7247668135014513,18.0,21.0,484.0,729.0,1.3318178966303624,0.5412
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC009/ses-01/anat/sub-HC009_ses-01_run-2_T1w.nii.gz,,sub-HC009,ses-01,224,320,320,0.8,0.8,0.8,19.371073722839355,,,,22937600,18866831,0.822528555733817,0.0,1237.0,131.42370337657658,40.0,157.65222240102742,16.0,1.200003443473375,1.424941510332549,15.0,19.0,456.0,588.0,1.5686335104089844,0.5634
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC010/ses-01/anat/sub-HC010_ses-01_run-1_T1w.nii.gz,,sub-HC010,ses-01,224,320,320,0.8,0.8,0.8,19.941597938537598,,,,22937600,18347077,0.7998690795898438,0.0,1204.0,138.66044389523194,37.0,156.94710055701955,19.0,0.9524298939477203,1.2480509419240773,13.0,17.0,434.0,598.0,1.643330143142623,0.573
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC010/ses-01/anat/sub-HC010_ses-01_run-2_T1w.nii.gz,,sub-HC010,ses-01,224,320,320,0.8,0.8,0.8,19.97318935394287,,,,22937600,18510733,0.807003914969308,0.0,1194.0,139.16591865919085,36.0,160.67913041996943,18.0,1.0423956226731868,1.2831266135807275,13.0,16.0,443.0,619.0,1.6493616608750428,0.5689
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC011/ses-01/anat/sub-HC011_ses-01_run-2_T1w.nii.gz,,sub-HC011,ses-01,224,320,320,0.8,0.8,0.8,19.559288024902344,,,,22937600,19052435,0.8306202479771205,0.0,1354.0,125.27507633538706,40.0,156.20412189785978,15.0,2.5246904797012233,1.7096937703354271,18.0,21.0,454.0,631.0,1.4233518994840393,0.5544
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC011/ses-01/anat/sub-HC011_ses-01_run-1_T1w.nii.gz,,sub-HC011,ses-01,224,320,320,0.8,0.8,0.8,19.62996006011963,,,,22937600,19032389,0.8297463117327009,0.0,1347.0,125.50515387217023,40.0,154.42754239460064,16.0,2.2987220823979166,1.665166915337036,18.0,21.0,451.0,617.0,1.434271821113992,0.5587
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC012/ses-01/anat/sub-HC012_ses-01_run-2_T1w.nii.gz,,sub-HC012,ses-01,224,320,320,0.8,0.8,0.8,20.24361515045166,,,,22937600,18435612,0.8037288992745536,0.0,1364.0,156.223250304899,41.0,177.5933735085878,19.0,0.3414048850945193,1.1642411734967015,18.0,21.0,504.0,632.0,1.4556621440447655,0.5729
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC014/ses-01/anat/sub-HC014_ses-01_run-1_T1w.nii.gz,,sub-HC014,ses-01,224,320,320,0.8,0.8,0.8,20.542567253112793,,,,22937600,18661888,0.81359375,0.0,1382.0,146.78633999946842,49.0,167.98913058188987,29.0,1.6235319264080577,1.4200721930892832,14.0,17.0,471.0,687.0,1.489738783462851,0.5759
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC014/ses-01/anat/sub-HC014_ses-01_run-2_T1w.nii.gz,,sub-HC014,ses-01,224,320,320,0.8,0.8,0.8,20.639053344726562,,,,22937600,18693740,0.8149823869977678,0.0,1452.0,147.99947784659463,48.0,171.2011384089925,28.0,1.7342867947137144,1.448413032693189,14.0,17.0,478.0,705.0,1.4186757395427534,0.5728
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC013/ses-01/anat/sub-HC013_ses-01_run-1_T1w.nii.gz,,sub-HC013,ses-01,224,320,320,0.8,0.8,0.8,20.745391845703125,,,,22937600,18440871,0.8039581734793527,0.0,1619.0,163.738330147204,42.0,186.51955545555944,22.0,1.6432540330351229,1.355608308011033,16.0,19.0,503.0,769.0,1.2528667473086876,0.5724
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC013/ses-01/anat/sub-HC013_ses-01_run-2_T1w.nii.gz,,sub-HC013,ses-01,224,320,320,0.8,0.8,0.8,20.58879566192627,,,,22937600,18459859,0.8047859845842634,0.0,1747.0,164.62921179408792,40.0,191.59946111736136,20.0,1.8577768544103712,1.4060851319314913,15.0,19.0,511.0,797.0,1.1578455091703665,0.5654
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC012/ses-01/anat/sub-HC012_ses-01_run-1_T1w.nii.gz,,sub-HC012,ses-01,224,320,320,0.8,0.8,0.8,20.18766975402832,,,,22937600,18388153,0.8016598510742188,0.0,1499.0,152.66873073113976,41.0,171.09016645198068,19.0,0.29927298772525557,1.1512977314122375,18.0,21.0,490.0,608.0,1.323772668289642,0.5771
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC015/ses-01/anat/sub-HC015_ses-01_run-2_T1w.nii.gz,,sub-HC015,ses-01,224,320,320,0.8,0.8,0.8,19.217853546142578,,,,22937600,19081853,0.8319027709960938,0.0,1265.0,117.25331344917079,35.0,150.51402898754796,13.0,2.8667873741014027,1.7873111441365095,16.0,19.0,421.0,657.0,1.4876489639959598,0.5444
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC015/ses-01/anat/sub-HC015_ses-01_run-1_T1w.nii.gz,,sub-HC015,ses-01,224,320,320,0.8,0.8,0.8,19.57946014404297,,,,22937600,19074982,0.8316032191685268,0.0,1234.0,117.08665177246301,36.0,147.76584810496172,14.0,2.808716738596879,1.7739170813830591,16.0,19.0,419.0,641.0,1.5437658221861081,0.5507
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC016/ses-01/anat/sub-HC016_ses-01_run-1_T1w.nii.gz,,sub-HC016,ses-01,224,320,320,0.8,0.8,0.8,19.781373977661133,,,,22937600,19079772,0.8318120465959822,0.0,1601.0,124.96392886665522,39.0,155.4452586284885,16.0,2.0984625556502206,1.6310740361098948,17.0,20.0,454.0,623.0,1.2012964897193041,0.5551
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC018/ses-01/anat/sub-HC018_ses-01_run-1_T1w.nii.gz,,sub-HC018,ses-01,224,320,320,0.8,0.8,0.8,20.594578742980957,,,,22937600,18944949,0.8259342302594866,0.0,1774.0,156.62134593236433,41.0,183.07311564595443,20.0,1.4788466058079575,1.3805848566917225,17.0,20.0,502.0,733.0,1.1335001230005246,0.5726
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC016/ses-01/anat/sub-HC016_ses-01_run-2_T1w.nii.gz,,sub-HC016,ses-01,224,320,320,0.8,0.8,0.8,19.72748374938965,,,,22937600,19109937,0.8331271362304687,0.0,1651.0,124.99034711626732,38.0,158.15043531674894,15.0,2.310131277846615,1.677926083800206,17.0,20.0,459.0,643.0,1.1621853742332742,0.5496
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC017/ses-01/anat/sub-HC017_ses-01_run-1_T1w.nii.gz,,sub-HC017,ses-01,224,320,320,0.8,0.8,0.8,20.30500030517578,,,,22937600,18755279,0.817665274483817,0.0,1579.0,155.37344952319825,40.0,191.09769736199118,20.0,2.3379096545652223,1.5719455550716395,13.0,17.0,522.0,810.0,1.2832226741165313,0.5518
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC017/ses-01/anat/sub-HC017_ses-01_run-2_T1w.nii.gz,,sub-HC017,ses-01,224,320,320,0.8,0.8,0.8,20.368513107299805,,,,22937600,18790340,0.8191938127790178,0.0,1694.0,157.4702831348448,39.0,194.79317757639555,19.0,2.277235947506713,1.565311970685937,13.0,17.0,527.0,829.0,1.1940806164313786,0.5502
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC018/ses-01/anat/sub-HC018_ses-01_run-2_T1w.nii.gz,,sub-HC018,ses-01,224,320,320,0.8,0.8,0.8,20.60179042816162,,,,22937600,19045279,0.8303082711356027,0.0,1908.0,155.85355709412292,41.0,184.32736610963667,20.0,1.6289201474417991,1.4192113060324076,17.0,20.0,505.0,742.0,1.052015533523063,0.5703
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC019/ses-01/anat/sub-HC019_ses-01_run-2_T1w.nii.gz,,sub-HC019,ses-01,224,320,320,0.8,0.8,0.8,19.87342357635498,,,,22937600,18899702,0.8239616176060268,0.0,1391.0,135.99314513001315,39.0,167.132760389619,16.0,1.8408694603233515,1.5420635666539855,17.0,20.0,480.0,650.0,1.3967717736199294,0.5556
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC020/ses-01/anat/sub-HC020_ses-01_run-1_T1w.nii.gz,,sub-HC020,ses-01,224,320,320,0.8,0.8,0.8,21.04658794403076,,,,22937600,18570437,0.8096068028041294,0.0,1604.0,172.92050671720864,42.0,196.04069018821824,23.0,1.1205057469885027,1.2365484780442795,14.0,18.0,531.0,759.0,1.2756269185830988,0.5755
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC019/ses-01/anat/sub-HC019_ses-01_run-1_T1w.nii.gz,,sub-HC019,ses-01,224,320,320,0.8,0.8,0.8,19.812289237976074,,,,22937600,18855275,0.8220247541155133,0.0,1334.0,134.4916305384037,39.0,164.99082292420312,16.0,1.7763442047564055,1.5343038601267278,17.0,20.0,475.0,633.0,1.4503322304510722,0.5556
